Severity,Start_Time,Weather_Condition,Start_Lat,Start_Lng,City,State,Hour,Day
2,2019-06-12 10:10:56,Fair,30.641211,-91.153481,Zachary,LA,10,Wednesday
2,2022-12-03 23:37:14,Fair,38.990562,-77.39907,Sterling,VA,23,Saturday
2,2022-08-20 13:13:00,Fair,34.66118932,-120.49282193,Lompoc,CA,13,Saturday
2,2022-02-21 17:43:04,Wintry Mix,43.680592,-92.993317,Austin,MN,17,Monday
2,2020-12-04 01:46:00,Fair,35.395484,-118.985176,Bakersfield,CA,1,Friday
2,2021-03-29 07:03:58,Fair,42.532082,-70.94426700000002,Peabody,MA,7,Monday
2,2020-01-14 16:49:23,Light Rain,42.42128,-123.11945,Gold Hill,OR,16,Tuesday
2,2021-08-13 16:48:00,Fair,30.19101,-85.682508,Panama City,FL,16,Friday
2,2022-10-12 13:59:30,Fair,32.868947,-96.804018,Dallas,TX,13,Wednesday
2,2021-10-21 07:39:30,Cloudy,39.717217683602726,-86.1246907706922,Indianapolis,IN,7,Thursday
2,2021-08-25 07:10:09,Cloudy,39.93346,-86.157433,Indianapolis,IN,7,Wednesday
2,2022-02-01 04:13:55,Cloudy,47.258259057773294,-115.05291581099009,Saint Regis,MT,4,Tuesday
2,2020-07-16 11:03:31,Fair,34.72015,-86.616592,Huntsville,AL,11,Thursday
2,2022-02-18 16:53:00,Fair,32.771645,-117.161407,San Diego,CA,16,Friday
2,2019-05-28 07:37:44,Fair,33.436073,-111.926163,Tempe,AZ,7,Tuesday
2,2020-11-30 12:57:30,Mostly Cloudy,25.89866,-80.382801,Miami,FL,12,Monday
2,2021-07-21 18:13:56,Partly Cloudy,38.132332,-77.511383,Woodford,VA,18,Wednesday
2,2018-04-12 07:30:27,Clear,29.75239,-95.364708,Houston,TX,7,Thursday
2,2018-08-09 15:11:13,Scattered Clouds,41.926895,-73.912605,Rhinebeck,NY,15,Thursday
2,2021-11-09 23:47:00,Mostly Cloudy,25.794969,-80.258877,Miami,FL,23,Tuesday
3,2018-01-25 11:30:19,Clear,35.753944,-78.635696,Raleigh,NC,11,Thursday
2,2020-06-15 08:17:29,Fair,34.243271,-118.424461,Arleta,CA,8,Monday
2,2022-03-16 15:15:36,Mostly Cloudy,34.651295000000005,-86.816582,Madison,AL,15,Wednesday
2,2022-03-16 18:56:36,Light Rain,34.03714,-81.090858,Columbia,SC,18,Wednesday
2,2022-02-16 08:30:07,Fair,28.64042401300125,-81.42232775649347,Altamonte Springs,FL,8,Wednesday
2,2022-08-10 18:28:09,Fair,39.16133523,-94.81736541,Kansas City,KS,18,Wednesday
2,2020-04-13 19:14:42,Mostly Cloudy,35.19002000000001,-80.79835,Charlotte,NC,19,Monday
2,2022-03-22 07:22:30,Fair,33.120965000000005,-117.32149,Carlsbad,CA,7,Tuesday
2,2018-05-16 17:45:34,Clear,42.442745,-83.754082,Brighton,MI,17,Wednesday
2,2018-04-10 07:45:54,Clear,30.452003,-91.102585,Baton Rouge,LA,7,Tuesday
2,2019-12-17 07:07:45,Partly Cloudy,39.711113,-104.99913,Denver,CO,7,Tuesday
2,2016-09-13 22:15:22,Clear,38.654133,-121.382942,North Highlands,CA,22,Tuesday
2,2022-11-10 20:28:00,Fair,30.5084002,-91.17196441,Baton Rouge,LA,20,Thursday
2,2021-01-05 01:56:00,Fog,38.087915,-122.231751,Vallejo,CA,1,Tuesday
